sensor_name,sensor_type,resolution,detector,tracker,measured_event_rate,power_mW,price,wall_clock_s,mota,motp,idf1,id_switches,num_gt,num_pred
IMX462 (Sony),CIS,1920x1080,optical_flow,sort,,86.5,~$20-30,89.09,-0.10715979137031773,0.3629573669610532,0.0657240622377171,61,12654,2835
OV7251 (OmniVision),CIS,640x480,frame_diff,centroid,,11.5,~$3-5,3.12,-0.004978662873399653,,0.0,0,12654,63
OV7251 (OmniVision),CIS,640x480,frame_diff,iou,,11.5,~$3-5,3.01,-0.0011853959222380972,,0.0,0,12654,15
OV7251 (OmniVision),CIS,640x480,frame_diff,sort,,11.5,~$3-5,3.05,-0.0009483167377903889,,0.0,0,12654,12
OV7251 (OmniVision),CIS,640x480,mog2,centroid,,11.5,~$3-5,3.84,-0.2202465623518255,0.3809999987122407,0.06359491240700745,27,12654,4014
OV7251 (OmniVision),CIS,640x480,mog2,iou,,11.5,~$3-5,3.83,-0.18365734155207836,0.38101614637540626,0.06728810420396321,19,12654,3545
OV7251 (OmniVision),CIS,640x480,mog2,sort,,11.5,~$3-5,4.1,-0.18334123597281482,0.3822238240641684,0.06476780185758514,16,12654,3496
OV7251 (OmniVision),CIS,640x480,knn,centroid,,11.5,~$3-5,3.97,-0.2659238185553976,0.39630055223431926,0.09985904803209368,39,12654,5792
OV7251 (OmniVision),CIS,640x480,knn,iou,,11.5,~$3-5,3.96,-0.22601548917338388,0.39628233822972847,0.10878894276319456,31,12654,5289
OV7251 (OmniVision),CIS,640x480,knn,sort,,11.5,~$3-5,4.02,-0.22617354196301576,0.4039311332537469,0.10815652465991155,23,12654,5209
OV7251 (OmniVision),CIS,640x480,optical_flow,centroid,,11.5,~$3-5,23.24,-0.03168958432116331,0.462303020007444,0.0006124167495981015,0,12654,409
OV7251 (OmniVision),CIS,640x480,optical_flow,iou,,11.5,~$3-5,23.26,-0.014382803856488158,0.462303020007444,0.0006228589224540642,0,12654,190
OV7251 (OmniVision),CIS,640x480,optical_flow,sort,,11.5,~$3-5,23.51,-0.013750592697961084,0.45329137358231486,0.0006232471174820816,0,12654,182
DAVIS346,DVS,346x260,frame_diff,centroid,28520.2,10.37,"~$3,000 (dev kit)",3.5,-0.006638217164532945,,0.0,0,12654,84
DAVIS346,DVS,346x260,frame_diff,iou,28520.2,10.37,"~$3,000 (dev kit)",3.59,-0.00616405879563775,,0.0,0,12654,78
DAVIS346,DVS,346x260,frame_diff,sort,28520.2,10.37,"~$3,000 (dev kit)",3.49,-0.00616405879563775,,0.0,0,12654,78
DAVIS346,DVS,346x260,mog2,centroid,28520.2,10.37,"~$3,000 (dev kit)",3.67,-0.003398134977082412,,0.0,0,12654,43
DAVIS346,DVS,346x260,mog2,iou,28520.2,10.37,"~$3,000 (dev kit)",3.6,-0.0029239766081872176,,0.0,0,12654,37
DAVIS346,DVS,346x260,mog2,sort,28520.2,10.37,"~$3,000 (dev kit)",3.66,-0.003082029397818875,,0.0,0,12654,39
DAVIS346,DVS,346x260,knn,centroid,28520.2,10.37,"~$3,000 (dev kit)",3.67,-0.00529476845266319,0.3628189300416963,0.00015719562996148708,0,12654,69
DAVIS346,DVS,346x260,knn,iou,28520.2,10.37,"~$3,000 (dev kit)",3.58,-0.004030346135609264,0.3628189300416963,0.00015739356260328953,0,12654,53
DAVIS346,DVS,346x260,knn,sort,28520.2,10.37,"~$3,000 (dev kit)",3.74,-0.003951319740793435,0.3628189300171897,0.00015740594994490792,0,12654,52
DAVIS346,DVS,346x260,optical_flow,centroid,28520.2,10.37,"~$3,000 (dev kit)",4.68,-0.1017859965228387,0.47096848544039754,0.0004301691998852882,0,12654,1294
DAVIS346,DVS,346x260,optical_flow,iou,28520.2,10.37,"~$3,000 (dev kit)",4.7,-0.07049154417575476,0.47096848544039754,0.00044273907910271547,0,12654,898
