sequence,sensor,theta,measured_event_rate,measured_fps,power_mW,wall_clock_s,mota,motp,idf1,id_switches,num_gt,num_pred
MOT17-04-SDP,DVS,0.1,1611036.4,30.0,27.115,8.16,-0.3326220957799906,0.37619774209773854,0.04745610590677063,6,12654,5173
MOT17-04-SDP,CIS-RGB,,,30.0,359.9477,4.88,0.743322269638059,0.12763862599906078,0.7792550849696223,46,12654,10060
MOT17-04-SDP,CIS-gray,,,30.0,359.9477,4.34,0.743322269638059,0.12763862599906078,0.7792550849696223,46,12654,10060
MOT17-04-SDP,DVS,0.2,758046.5,30.0,22.892,8.18,-0.25478109688635997,0.3646126585637094,0.101995318247687,18,12654,5288
MOT17-04-SDP,CIS-RGB,,,30.0,359.9477,4.9,0.743322269638059,0.12763862599906078,0.7792550849696223,46,12654,10060
MOT17-04-SDP,CIS-gray,,,30.0,359.9477,4.69,0.743322269638059,0.12763862599906078,0.7792550849696223,46,12654,10060
MOT17-04-SDP,DVS,0.4,322425.8,30.0,20.736,7.99,-0.26244665718349935,0.38444359964804453,0.09867089646119345,34,12654,5629
MOT17-04-SDP,CIS-RGB,,,30.0,359.9477,4.89,0.743322269638059,0.12763862599906078,0.7792550849696223,46,12654,10060
MOT17-04-SDP,CIS-gray,,,30.0,359.9477,4.27,0.743322269638059,0.12763862599906078,0.7792550849696223,46,12654,10060
