sequence,sensor,theta,measured_event_rate,measured_fps,power_mW,wall_clock_s,mota,motp,idf1,id_switches,num_gt,num_pred
MOT17-04-SDP,DVS,0.2,758046.5,30.0,22.892,8.24,-0.13458195037142406,0.3869584729283975,0.01541189307146754,11,12654,2010
MOT17-04-SDP,CIS-RGB,,,30.0,359.9477,5.86,-0.18436857910542126,0.37088197500933806,0.10222865412445731,34,12654,4621
MOT17-04-SDP,CIS-gray,,,30.0,359.9477,6.25,-0.18942626837363674,0.37714880436986914,0.09460475336841496,34,12654,4639
