sequence,sensor,theta,measured_event_rate,measured_fps,power_mW,wall_clock_s,mota,motp,idf1,id_switches,num_gt,num_pred
MOT17-04-SDP,DVS,0.2,758046.5,30.0,22.892,7.55,-0.25478109688635997,0.3646126585637094,0.101995318247687,18,12654,5288
MOT17-04-SDP,CIS-RGB,,,30.0,359.9477,6.24,-0.18436857910542126,0.37088197500933806,0.10222865412445731,34,12654,4621
MOT17-04-SDP,CIS-gray,,,30.0,359.9477,6.38,-0.18942626837363674,0.37714880436986914,0.09460475336841496,34,12654,4639
