sensor_name,sensor_type,tracker,velocity_scale,mean_velocity_px_s,power_mW,required_fps,actual_fps,contrast_threshold,fps_fraction,price,mota,motp,idf1,id_switches,num_gt,num_pred
AR0234 (ON Semi),CIS,sort,50,1048.5,250.0,174.2,120.0,,1.0,~$20-40,0.37883673146831043,0.13406426221453052,0.42527636556892023,599.4,12654.0,8168.4
OV7251 (OmniVision),CIS,sort,100,2096.9,3.58,348.3,5.0,,0.04,~$3-5,0.039307728781412976,0.12674645112999144,0.04882968635132513,76.8,12654.0,574.2
OV7251 (OmniVision),CIS,sort,200,4193.8,3.58,696.7,5.0,,0.04,~$3-5,0.03973447131341867,0.12827838448870918,0.04999591408945926,76.2,12654.0,579.0
OV7251 (OmniVision),CIS,centroid,2,41.9,6.75,7.0,15.0,,0.12,~$3-5,0.4597281492018334,0.16260324406941845,0.5800498055529292,74.4,12654.0,5907.8
OV7251 (OmniVision),CIS,centroid,10,209.7,6.75,34.8,15.0,,0.12,~$3-5,0.29446815236288926,0.21535242327925436,0.3776756279470625,290.8,12654.0,5742.6
IMX462 (Sony),CIS,sort,500,10484.5,310.0,1741.7,120.0,,1.0,~$20-30,0.3883198988462146,0.041961203860946567,0.5065259334922256,54.2,12654.0,4968.0
OV7251 (OmniVision),CIS,sort,5,104.8,3.58,17.4,5.0,,0.04,~$3-5,0.05487592856013908,0.17583551253025206,0.0706076152958874,156.8,12654.0,1021.6
OV7251 (OmniVision),CIS,centroid,1,21.0,6.75,3.5,15.0,,0.12,~$3-5,0.46148253516674564,0.1471938930788656,0.5784819586014557,73.2,12654.0,5913.2
OV7251 (OmniVision),CIS,sort,500,10484.5,3.58,1741.7,5.0,,0.04,~$3-5,0.037916864232653724,0.13136649741630355,0.044859157054918795,81.0,12654.0,560.8
OV7251 (OmniVision),CIS,centroid,5,104.8,6.75,17.4,15.0,,0.12,~$3-5,0.41107950055318476,0.19699767113441835,0.5186756345030934,137.6,12654.0,5875.4
OV7251 (OmniVision),CIS,sort,20,419.4,3.58,69.7,5.0,,0.04,~$3-5,0.0421210684368579,0.13754672864250558,0.05336010091914005,81.8,12654.0,643.2
OV7251 (OmniVision),CIS,centroid,20,419.4,6.75,69.7,15.0,,0.12,~$3-5,0.16789947842579422,0.2071155304631141,0.26115402507476626,390.6,12654.0,5038.4
OV7251 (OmniVision),CIS,centroid,50,1048.5,6.75,174.2,15.0,,0.12,~$3-5,0.1504188398925241,0.16288437938642636,0.21651447915646171,237.4,12654.0,3116.0
