object_size_px,velocity_px_s,background,threshold_name,theta,event_rate_raw,event_rate_scaled,event_rate_eff,power_static_mW,power_dynamic_mW,power_total_mW,saturated
25,200,high_texture,high_threshold,0.4,292336.0,146168.0,146168.0,19.14,0.724,19.864,0
25,500,high_texture,low_threshold,0.1,730840.0,1461680.0,1461680.0,19.14,7.235,26.375,0
25,500,high_texture,med_threshold,0.2,730840.0,730840.0,730840.0,19.14,3.618,22.758,0
25,500,high_texture,high_threshold,0.4,730840.0,365420.0,365420.0,19.14,1.809,20.949,0
50,10,high_texture,low_threshold,0.1,15716.8,31433.6,31433.6,19.14,0.156,19.296,0
50,10,high_texture,med_threshold,0.2,15716.8,15716.8,15716.8,19.14,0.078,19.218,0
50,10,high_texture,high_threshold,0.4,15716.8,7858.4,7858.4,19.14,0.039,19.179,0
50,50,high_texture,low_threshold,0.1,78584.0,157168.0,157168.0,19.14,0.778,19.918,0
50,50,high_texture,med_threshold,0.2,78584.0,78584.0,78584.0,19.14,0.389,19.529,0
50,50,high_texture,high_threshold,0.4,78584.0,39292.0,39292.0,19.14,0.194,19.334,0
50,100,high_texture,low_threshold,0.1,157168.0,314336.0,314336.0,19.14,1.556,20.696,0
50,100,high_texture,med_threshold,0.2,157168.0,157168.0,157168.0,19.14,0.778,19.918,0
50,100,high_texture,high_threshold,0.4,157168.0,78584.0,78584.0,19.14,0.389,19.529,0
50,200,high_texture,low_threshold,0.1,314336.0,628672.0,628672.0,19.14,3.112,22.252,0
50,200,high_texture,med_threshold,0.2,314336.0,314336.0,314336.0,19.14,1.556,20.696,0
50,200,high_texture,high_threshold,0.4,314336.0,157168.0,157168.0,19.14,0.778,19.918,0
50,500,high_texture,low_threshold,0.1,785840.0,1571680.0,1571680.0,19.14,7.78,26.92,0
50,500,high_texture,med_threshold,0.2,785840.0,785840.0,785840.0,19.14,3.89,23.03,0
50,500,high_texture,high_threshold,0.4,785840.0,392920.0,392920.0,19.14,1.945,21.085,0
100,10,high_texture,low_threshold,0.1,17916.8,35833.6,35833.6,19.14,0.177,19.317,0
100,10,high_texture,med_threshold,0.2,17916.8,17916.8,17916.8,19.14,0.089,19.229,0
100,10,high_texture,high_threshold,0.4,17916.8,8958.4,8958.4,19.14,0.044,19.184,0
100,50,high_texture,low_threshold,0.1,89584.0,179168.0,179168.0,19.14,0.887,20.027,0
100,50,high_texture,med_threshold,0.2,89584.0,89584.0,89584.0,19.14,0.443,19.583,0
100,50,high_texture,high_threshold,0.4,89584.0,44792.0,44792.0,19.14,0.222,19.362,0
100,100,high_texture,low_threshold,0.1,179168.0,358336.0,358336.0,19.14,1.774,20.914,0
100,100,high_texture,med_threshold,0.2,179168.0,179168.0,179168.0,19.14,0.887,20.027,0
100,100,high_texture,high_threshold,0.4,179168.0,89584.0,89584.0,19.14,0.443,19.583,0
100,200,high_texture,low_threshold,0.1,358336.0,716672.0,716672.0,19.14,3.548,22.688,0
100,200,high_texture,med_threshold,0.2,358336.0,358336.0,358336.0,19.14,1.774,20.914,0
100,200,high_texture,high_threshold,0.4,358336.0,179168.0,179168.0,19.14,0.887,20.027,0
100,500,high_texture,low_threshold,0.1,895840.0,1791680.0,1791680.0,19.14,8.869,28.009,0
100,500,high_texture,med_threshold,0.2,895840.0,895840.0,895840.0,19.14,4.434,23.574,0
100,500,high_texture,high_threshold,0.4,895840.0,447920.0,447920.0,19.14,2.217,21.357,0
